HumanSymbol	chr	snp	locus	gene_biotype	MouseSymbol
MYLPF	16	rs14235	BCKDK-STX1B	protein_coding	Mylpf
MYO15A	17	rs11868035	SREBF1-RAI1	protein_coding	Myo15
NAAA	4	rs6812193	FAM47E-SCARB2	protein_coding	Naaa
NACAP2	10	rs117896735	INPP5F	processed_pseudogene	NA
NAGLU	17	rs601999	ATP6V0A1	protein_coding	Naglu
NANOS1	10	rs117896735	INPP5F	protein_coding	Nanos1
NBR1	17	rs601999	ATP6V0A1	protein_coding	Nbr1
NBR2	17	rs601999	ATP6V0A1	transcribed_unprocessed_pseudogene	NA
NCAPD3	11	rs329648	MIR4697	protein_coding	Ncapd3
NCKIPSD	3	rs12497850	NCKIPSD	protein_coding	Nckipsd
NCLN	19	rs62120679	SPPL2B	protein_coding	Ncln
NDUFA3P3	1	rs4653767	ITPKB	processed_pseudogene	NA
NDUFA3P6	16	rs14235	BCKDK-STX1B	processed_pseudogene	NA
NDUFAF2	5	rs2694528	ELOVL7	protein_coding	Ndufaf2
NDUFAF3	3	rs12497850	NCKIPSD	protein_coding	Ndufaf3
NDUFB1P1	3	rs12497850	NCKIPSD	processed_pseudogene	NA
NDUFS7	19	rs62120679	SPPL2B	protein_coding	Ndufs7
NEIL2	8	rs2740594	CTSB	protein_coding	Neil2
NEK4	3	rs143918452	ALAS1	protein_coding	Nek4
NELFE	6	rs9275326	HLA-DBQ1	protein_coding	Nelfe
NEU1	6	rs9275326	HLA-DBQ1	protein_coding	Neu1
NEUROG2	4	rs78738012	ANK2	protein_coding	Neurog2
NF1P3	21	rs2823357	USP25	unprocessed_pseudogene	NA
NFASC	1	rs823118	RAB7L1-NUCKS1	protein_coding	Nfasc
NFIC	19	rs62120679	SPPL2B	protein_coding	Nfic
NFKBIL1	6	rs9275326	HLA-DBQ1	protein_coding	Nfkbil1
NICN1	3	rs12497850	NCKIPSD	protein_coding	Nicn1
NKAPL	6	rs9468199	ZNF184	protein_coding	Nkapl
NKIRAS2	17	rs601999	ATP6V0A1	protein_coding	Nkiras2
NMD3	3	rs34016896	NMD3	protein_coding	Nmd3
NME6	3	rs12497850	NCKIPSD	protein_coding	Nme6
NMT1	17	rs17649553	MAPT	protein_coding	Nmt1
NMT2	10	rs7077361	ITGA8	protein_coding	Nmt2
NMT2	10	rs10906923	FAM171A1	protein_coding	Nmt2
NOP56	20	rs8118008	DDRGK1	protein_coding	Nop56
NOS2P2	17	rs11868035	SREBF1-RAI1	unprocessed_pseudogene	NA
NOS2P4	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
NOSTRIN	2	rs1474055	STK39	protein_coding	Nostrin
NOTCH4	6	rs9275326	HLA-DBQ1	protein_coding	Notch4
NPAS2	2	rs34043159	IL1R2	protein_coding	Npas2
NPM1P47	15	rs2414739	VPS13C	processed_pseudogene	NA
NPM2	8	rs2280104	SORBS3	protein_coding	Npm2
NRIP1	21	rs2823357	USP25	protein_coding	Nrip1
NSF	17	rs17649553	MAPT	protein_coding	Nsf
NSFP1	17	rs17649553	MAPT	unprocessed_pseudogene	NA
NT5C3B	17	rs601999	ATP6V0A1	protein_coding	Nt5c3b
NT5DC2	3	rs143918452	ALAS1	protein_coding	Nt5dc2
NT5M	17	rs11868035	SREBF1-RAI1	protein_coding	Nt5m
NTPCR	1	rs10797576	SIPA1L2	protein_coding	Ntpcr
NUAK2	1	rs823118	RAB7L1-NUCKS1	protein_coding	Nuak2
NUCKS1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Nucks1
NUCKS1P1	1	rs4653767	ITPKB	processed_pseudogene	NA
NUDT18	8	rs2280104	SORBS3	protein_coding	Nudt18
NUP54	4	rs6812193	FAM47E-SCARB2	protein_coding	Nup54
NUPL2	7	rs199347	GPNMB	protein_coding	Nupl2
OAZ1	19	rs62120679	SPPL2B	protein_coding	Oaz1
OGFOD2	12	rs11060180	CCDC62	protein_coding	Ogfod2
OLAH	10	rs10906923	FAM171A1	protein_coding	Olah
OLAH	10	rs7077361	ITGA8	protein_coding	Olah
OPCML	11	rs329648	MIR4697	protein_coding	Opcml
OPCML-IT1	11	rs329648	MIR4697	sense_intronic	NA
OR1F12	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR2B6	6	rs9468199	ZNF184	protein_coding	Olfr11
OR2B7P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR2B8P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR2E1P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR2W2P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR2W4P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR2W6P	6	rs9468199	ZNF184	unprocessed_pseudogene	NA
OR6R2P	8	rs2280104	SORBS3	unprocessed_pseudogene	NA
OR7E10P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
OR7E110P	10	rs10906923	FAM171A1	unprocessed_pseudogene	NA
OR7E110P	10	rs7077361	ITGA8	unprocessed_pseudogene	NA
OR7E115P	10	rs10906923	FAM171A1	unprocessed_pseudogene	NA
OR7E115P	10	rs7077361	ITGA8	unprocessed_pseudogene	NA
OR7E158P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
OR7E15P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
OR7E160P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
OR7E161P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
OR7E26P	10	rs10906923	FAM171A1	unprocessed_pseudogene	NA
OR7E26P	10	rs7077361	ITGA8	unprocessed_pseudogene	NA
OR7E8P	8	rs2740594	CTSB	unprocessed_pseudogene	NA
ORAI3	16	rs14235	BCKDK-STX1B	protein_coding	Orai3
OSTCP4	4	rs78738012	ANK2	processed_pseudogene	NA
OTOL1	3	rs34016896	NMD3	protein_coding	Otol1
OXT	20	rs8118008	DDRGK1	protein_coding	Oxt
P3H4	17	rs601999	ATP6V0A1	protein_coding	P3h4
P4HTM	3	rs12497850	NCKIPSD	protein_coding	P4htm
PABPC1P11	9	rs13294100	SH3GL2	processed_pseudogene	NA
PANK2	20	rs8118008	DDRGK1	protein_coding	Pank2
PARL	3	rs12637471	MCCC1	protein_coding	Parl
PARP1	1	rs4653767	ITPKB	protein_coding	Parp1
PARP3	3	rs143918452	ALAS1	protein_coding	Parp3
PART1	5	rs2694528	ELOVL7	lincRNA	NA
PBRM1	3	rs143918452	ALAS1	protein_coding	Pbrm1
PBX2	6	rs9275326	HLA-DBQ1	protein_coding	Pbx2
PBXIP1	1	rs35749011	GBA-SYT11	protein_coding	Pbxip1
PCBP4	3	rs143918452	ALAS1	protein_coding	Pcbp4
PCED1A	20	rs8118008	DDRGK1	protein_coding	Pced1a
PCF11	11	rs3793947	DLG2	protein_coding	Pcf11
PCF11-AS1	11	rs3793947	DLG2	lincRNA	NA
PCGF3	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Pcgf3
PCMTD1P3	7	rs199347	GPNMB	processed_pseudogene	NA
PCNX2	1	rs10797576	SIPA1L2	protein_coding	Pcnx2
PCSK4	19	rs62120679	SPPL2B	protein_coding	Pcsk4
PDCL3P3	3	rs4073221	SATB1	processed_pseudogene	NA
PDE6B	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Pde6b
PDGFRL	8	rs591323	FGF20	protein_coding	Pdgfrl
PDLIM2	8	rs2280104	SORBS3	protein_coding	Pdlim2
PDZRN4	12	rs76904798	LRRK2	protein_coding	Pdzrn4
PEBP4	8	rs2280104	SORBS3	protein_coding	Pebp4
PEMT	17	rs11868035	SREBF1-RAI1	protein_coding	Pemt
PFDN6	6	rs9275326	HLA-DBQ1	protein_coding	Pfdn6
PFKFB4	3	rs12497850	NCKIPSD	protein_coding	Pfkfb4
PGBD1	6	rs9468199	ZNF184	protein_coding	Pgbd1
PHACTR2P1	10	rs117896735	INPP5F	transcribed_processed_pseudogene	NA
PHBP21	16	rs4784227	TOX3	processed_pseudogene	NA
PHF1	6	rs9275326	HLA-DBQ1	protein_coding	Phf1
PHF7	3	rs143918452	ALAS1	protein_coding	Phf7
PHKG2	16	rs14235	BCKDK-STX1B	protein_coding	Phkg2
PHYHIP	8	rs2280104	SORBS3	protein_coding	Phyhip
PIGG	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Pigg
PIGH	14	rs1555399	TMEM229B	protein_coding	Pigh
PIK3C2B	1	rs823118	RAB7L1-NUCKS1	protein_coding	Pik3c2b
PIK3C3	18	rs12456492	RIT2	protein_coding	Pik3c3
PIP5K1C	19	rs62120679	SPPL2B	protein_coding	Pip5k1c
PITPNM2	12	rs11060180	CCDC62	protein_coding	Pitpnm2
PIWIL2	8	rs2280104	SORBS3	protein_coding	Piwil2
PKD1P5	16	rs11343	COQ7	transcribed_unprocessed_pseudogene	NA
PKLR	1	rs35749011	GBA-SYT11	protein_coding	Pklr
PLCD3	17	rs17649553	MAPT	protein_coding	Plcd3
PLEK2	14	rs1555399	TMEM229B	protein_coding	Plek2
PLEKHH1	14	rs1555399	TMEM229B	protein_coding	Plekhh1
PLEKHH3	17	rs601999	ATP6V0A1	protein_coding	Plekhh3
PLEKHJ1	19	rs62120679	SPPL2B	protein_coding	Plekhj1
PLEKHM1	17	rs17649553	MAPT	protein_coding	Plekhm1
PLK5	19	rs62120679	SPPL2B	protein_coding	Plk5
PLPP4	10	rs117896735	INPP5F	protein_coding	Plpp4
PLXNB1	3	rs12497850	NCKIPSD	protein_coding	Plxnb1
PM20D1	1	rs823118	RAB7L1-NUCKS1	protein_coding	Pm20d1
PMVK	1	rs35749011	GBA-SYT11	protein_coding	Pmvk
POC1A	3	rs143918452	ALAS1	protein_coding	Poc1a
POLR2CP1	21	rs2823357	USP25	processed_pseudogene	NA
POLR3D	8	rs2280104	SORBS3	protein_coding	Polr3d
POM121L2	6	rs9468199	ZNF184	protein_coding	Pom121l2
POM121L6P	6	rs9468199	ZNF184	processed_pseudogene	NA
POU1F1	3	rs115185635	KRT8P25-APOOP2	protein_coding	Pou1f1
POU5F1P4	1	rs35749011	GBA-SYT11	processed_pseudogene	NA
PPATP1	3	rs115185635	KRT8P25-APOOP2	processed_pseudogene	NA
PPEF2	4	rs6812193	FAM47E-SCARB2	protein_coding	Ppef2
PPIAP30	10	rs10906923	FAM171A1	processed_pseudogene	NA
PPIAP30	10	rs7077361	ITGA8	processed_pseudogene	NA
PPIAP6	14	rs1555399	TMEM229B	processed_pseudogene	NA
PPM1AP1	8	rs591323	FGF20	processed_pseudogene	NA
PPM1L	3	rs34016896	NMD3	protein_coding	Ppm1l
PPM1M	3	rs143918452	ALAS1	protein_coding	Ppm1m
PPP1R2P1	6	rs9275326	HLA-DBQ1	transcribed_processed_pseudogene	NA
PPP3CC	8	rs2280104	SORBS3	protein_coding	Ppp3cc
PPP6R2P1	21	rs2823357	USP25	unprocessed_pseudogene	NA
PPT2	6	rs9275326	HLA-DBQ1	protein_coding	Ppt2
PRCP	11	rs3793947	DLG2	protein_coding	Prcp
PRDX3	10	rs117896735	INPP5F	protein_coding	Prdx3
PRKAR2A	3	rs12497850	NCKIPSD	protein_coding	Prkar2a
PRKAR2A-AS1	3	rs12497850	NCKIPSD	antisense	NA
PRKCD	3	rs143918452	ALAS1	protein_coding	Prkcd
PROM1	4	rs11724635	BST1	protein_coding	Prom1
PRR14	16	rs14235	BCKDK-STX1B	protein_coding	Prr14
PRRC2A	6	rs9275326	HLA-DBQ1	protein_coding	Prrc2a
PRSS16	6	rs9468199	ZNF184	protein_coding	Prss16
PRSS36	16	rs14235	BCKDK-STX1B	protein_coding	Prss36
PRSS53	16	rs14235	BCKDK-STX1B	protein_coding	Prss53
PRSS8	16	rs14235	BCKDK-STX1B	protein_coding	Prss8
PSEN2	1	rs4653767	ITPKB	protein_coding	Psen2
PSMB8	6	rs9275326	HLA-DBQ1	protein_coding	Psmb8
PSMB8-AS1	6	rs9275326	HLA-DBQ1	lincRNA	NA
PSMB9	6	rs9275326	HLA-DBQ1	protein_coding	Psmb9
PSMC1P6	3	rs115185635	KRT8P25-APOOP2	processed_pseudogene	NA
PSMC1P7	3	rs34016896	NMD3	processed_pseudogene	NA
PSMC3IP	17	rs601999	ATP6V0A1	protein_coding	Psmc3ip
PSMD8P1	1	rs35749011	GBA-SYT11	processed_pseudogene	NA
PSMD9	12	rs11060180	CCDC62	protein_coding	Psmd9
PSME3	17	rs601999	ATP6V0A1	protein_coding	Psme3
PTER	10	rs10906923	FAM171A1	protein_coding	Pter
PTER	10	rs7077361	ITGA8	protein_coding	Pter
PTGES3L	17	rs601999	ATP6V0A1	protein_coding	Ptges3l
PTP4A2P1	17	rs601999	ATP6V0A1	processed_pseudogene	NA
PTP4A2P2	11	rs329648	MIR4697	processed_pseudogene	NA
PTPN21	14	rs8005172	GALC	protein_coding	Ptpn21
PTPRA	20	rs8118008	DDRGK1	protein_coding	Ptpra
PYCARD	16	rs14235	BCKDK-STX1B	protein_coding	Pycard
PYCARD-AS1	16	rs14235	BCKDK-STX1B	antisense	NA
PYCR2	1	rs4653767	ITPKB	protein_coding	Pycr2
PYGO2	1	rs35749011	GBA-SYT11	protein_coding	Pygo2
QRICH1	3	rs12497850	NCKIPSD	protein_coding	Qrich1
R3HDM1	2	rs6430538	ACMSD-TMEM163	protein_coding	R3hdm1
RAB25	1	rs35749011	GBA-SYT11	protein_coding	Rab25
RAB29	1	rs823118	RAB7L1-NUCKS1	protein_coding	Rab29
RAB30	11	rs3793947	DLG2	protein_coding	Rab30
RAB30-AS1	11	rs3793947	DLG2	lincRNA	NA
RAB3GAP1	2	rs6430538	ACMSD-TMEM163	protein_coding	Rab3gap1
RAB5C	17	rs601999	ATP6V0A1	protein_coding	Rab5c
RAB7B	1	rs823118	RAB7L1-NUCKS1	protein_coding	Rab7b
RAD1P1	10	rs117896735	INPP5F	processed_pseudogene	NA
RAD23BLP	21	rs2823357	USP25	processed_pseudogene	NA
RAD23BP1	3	rs4073221	SATB1	processed_pseudogene	NA
RAD51B	14	rs1555399	TMEM229B	protein_coding	Rad51b
RAI1	17	rs11868035	SREBF1-RAI1	protein_coding	Rai1
RAI1-AS1	17	rs11868035	SREBF1-RAI1	antisense	NA
RAMP2	17	rs601999	ATP6V0A1	protein_coding	Ramp2
RAMP2-AS1	17	rs601999	ATP6V0A1	lincRNA	NA
RAPGEF5	7	rs199347	GPNMB	protein_coding	Rapgef5
RASD1	17	rs11868035	SREBF1-RAI1	protein_coding	Rasd1
RASSF5	1	rs823118	RAB7L1-NUCKS1	protein_coding	Rassf5
RBBP5	1	rs823118	RAB7L1-NUCKS1	protein_coding	Rbbp5
RBL2	16	rs4784227	TOX3	protein_coding	Rbl2
RBM11	21	rs2823357	USP25	protein_coding	Rbm11
RBM22P12	16	rs14235	BCKDK-STX1B	processed_pseudogene	NA
RBM22P13	16	rs14235	BCKDK-STX1B	processed_pseudogene	NA
RBMX2P1	21	rs2823357	USP25	processed_pseudogene	NA
RBPMSLP	21	rs2823357	USP25	processed_pseudogene	NA
RCHY1	4	rs6812193	FAM47E-SCARB2	protein_coding	Rchy1
RDH11	14	rs1555399	TMEM229B	protein_coding	Rdh11
RDH12	14	rs1555399	TMEM229B	protein_coding	Rdh12
REEP4	8	rs2280104	SORBS3	protein_coding	Reep4
REEP6	19	rs62120679	SPPL2B	protein_coding	Reep6
REXO1	19	rs62120679	SPPL2B	protein_coding	Rexo1
RFT1	3	rs143918452	ALAS1	protein_coding	Rft1
RFX8	2	rs34043159	IL1R2	protein_coding	Rfx8
RGL2	6	rs9275326	HLA-DBQ1	protein_coding	Rgl2
RGS10	10	rs117896735	INPP5F	protein_coding	Rgs10
RHOA	3	rs12497850	NCKIPSD	protein_coding	Rhoa
RHOA-IT1	3	rs12497850	NCKIPSD	sense_intronic	NA
RHOBTB2	8	rs2280104	SORBS3	protein_coding	Rhobtb2
RILPL1	12	rs11060180	CCDC62	protein_coding	Rilpl1
RILPL2	12	rs11060180	CCDC62	protein_coding	Rilpl2
RING1	6	rs9275326	HLA-DBQ1	protein_coding	Ring1
RIT1	1	rs35749011	GBA-SYT11	protein_coding	Rit1
RIT2	18	rs12456492	RIT2	protein_coding	Rit2
RN7SKP142	16	rs4784227	TOX3	misc_RNA	NA
RN7SKP152	2	rs353116	SCN3A	misc_RNA	NA
RN7SKP165	1	rs4653767	ITPKB	misc_RNA	NA
RN7SKP170	4	rs11724635	BST1	misc_RNA	NA
RN7SKP248	4	rs356182	SNCA	misc_RNA	NA
RN7SL108P	14	rs1555399	TMEM229B	misc_RNA	NA
RN7SL121P	19	rs62120679	SPPL2B	misc_RNA	NA
RN7SL182P	3	rs12497850	NCKIPSD	misc_RNA	NA
RN7SL184P	4	rs78738012	ANK2	misc_RNA	NA
RN7SL199P	17	rs17649553	MAPT	misc_RNA	NA
RN7SL213P	14	rs1555399	TMEM229B	misc_RNA	NA
RN7SL26P	6	rs9275326	HLA-DBQ1	misc_RNA	NA
RN7SL293P	8	rs2740594	CTSB	misc_RNA	NA
RN7SL299P	1	rs10797576	SIPA1L2	misc_RNA	NA
RN7SL303P	8	rs2280104	SORBS3	misc_RNA	NA
RN7SL321P	3	rs12497850	NCKIPSD	misc_RNA	NA
RN7SL369P	14	rs1555399	TMEM229B	misc_RNA	NA
RN7SL399P	17	rs601999	ATP6V0A1	misc_RNA	NA
RN7SL431P	1	rs35749011	GBA-SYT11	misc_RNA	NA
RN7SL474P	8	rs591323	FGF20	misc_RNA	NA
RN7SL477P	19	rs62120679	SPPL2B	misc_RNA	NA
RN7SL504P	3	rs143918452	ALAS1	misc_RNA	NA
RN7SL555P	20	rs8118008	DDRGK1	misc_RNA	NA
RN7SL656P	17	rs17649553	MAPT	misc_RNA	NA
RN7SL664P	3	rs12497850	NCKIPSD	misc_RNA	NA
RN7SL706P	14	rs1555399	TMEM229B	misc_RNA	NA
RN7SL720P	9	rs13294100	SH3GL2	misc_RNA	NA
RN7SL749P	10	rs117896735	INPP5F	misc_RNA	NA
RN7SL775P	17	rs11868035	SREBF1-RAI1	misc_RNA	NA
RN7SL813P	2	rs1474055	STK39	misc_RNA	NA
RN7SL846P	10	rs117896735	INPP5F	misc_RNA	NA
RNA5SP104	2	rs6430538	ACMSD-TMEM163	rRNA	NA
RNA5SP110	2	rs353116	SCN3A	rRNA	NA
RNA5SP111	2	rs353116	SCN3A	rRNA	NA
RNA5SP130	3	rs12497850	NCKIPSD	rRNA	NA
RNA5SP151	3	rs12637471	MCCC1	rRNA	NA
RNA5SP206	6	rs9275326	HLA-DBQ1	rRNA	NA
RNA5SP227	7	rs199347	GPNMB	rRNA	NA
RNA5SP228	7	rs199347	GPNMB	rRNA	NA
RNA5SP253	8	rs2740594	CTSB	rRNA	NA
RNA5SP254	8	rs2740594	CTSB	rRNA	NA
RNA5SP256	8	rs591323	FGF20	rRNA	NA
RNA5SP272	8	rs60298754	MMP16	rRNA	NA
RNA5SP302	10	rs10906923	FAM171A1	rRNA	NA
RNA5SP302	10	rs7077361	ITGA8	rRNA	NA
RNA5SP375	12	rs11060180	CCDC62	rRNA	NA
RNA5SP386	14	rs1555399	TMEM229B	rRNA	NA
RNA5SP397	15	rs2414739	VPS13C	rRNA	NA
RNA5SP427	16	rs4784227	TOX3	rRNA	NA
RNA5SP442	17	rs601999	ATP6V0A1	rRNA	NA
RNA5SP443	17	rs17649553	MAPT	rRNA	NA
RNA5SP454	18	rs12456492	RIT2	rRNA	NA
RNA5SP455	18	rs12456492	RIT2	rRNA	NA
RNA5SP488	21	rs2823357	USP25	rRNA	NA
RNA5SP74	1	rs823118	RAB7L1-NUCKS1	rRNA	NA
RNA5SP75	1	rs823118	RAB7L1-NUCKS1	rRNA	NA
RNA5SP77	1	rs4653767	ITPKB	rRNA	NA
RND2	17	rs601999	ATP6V0A1	protein_coding	Rnd2
RNF123	3	rs12497850	NCKIPSD	protein_coding	Rnf123
RNF149	2	rs34043159	IL1R2	protein_coding	Rnf149
RNF212	4	rs34311866	TMEM175-GAK-DGKQ	protein_coding	Rnf212
RNF24	20	rs8118008	DDRGK1	protein_coding	Rnf24
RNF40	16	rs14235	BCKDK-STX1B	protein_coding	Rnf40
RNF5	6	rs9275326	HLA-DBQ1	protein_coding	Rnf5
RNU1-138P	4	rs78738012	ANK2	snRNA	NA
RNU1-61P	6	rs9275326	HLA-DBQ1	snRNA	NA
RNU1-74P	1	rs10797576	SIPA1L2	snRNA	NA
RNU2-1	17	rs601999	ATP6V0A1	snRNA	NA
RNU2-16P	4	rs6812193	FAM47E-SCARB2	snRNA	NA
RNU2-18P	10	rs10906923	FAM171A1	snRNA	NA
RNU2-18P	10	rs7077361	ITGA8	snRNA	NA
RNU2-19P	1	rs823118	RAB7L1-NUCKS1	snRNA	NA
RNU2-45P	6	rs9468199	ZNF184	snRNA	NA
RNU2-4P	17	rs601999	ATP6V0A1	snRNA	NA
RNU2-62P	6	rs9468199	ZNF184	snRNA	NA
RNU4-22P	14	rs8005172	GALC	snRNA	NA
RNU4-46P	16	rs11343	COQ7	snRNA	NA
RNU4-71P	8	rs2280104	SORBS3	snRNA	NA
RNU4-77P	1	rs10797576	SIPA1L2	snRNA	NA
RNU4-92P	14	rs8005172	GALC	snRNA	NA
RNU5A-5P	1	rs10797576	SIPA1L2	snRNA	NA
RNU6-1000P	4	rs6812193	FAM47E-SCARB2	snRNA	NA
RNU6-1019P	20	rs8118008	DDRGK1	snRNA	NA
RNU6-1043P	16	rs14235	BCKDK-STX1B	snRNA	NA
RNU6-106P	1	rs35749011	GBA-SYT11	snRNA	NA
RNU6-1075P	10	rs10906923	FAM171A1	snRNA	NA
RNU6-1075P	10	rs7077361	ITGA8	snRNA	NA
RNU6-1084P	8	rs2740594	CTSB	snRNA	NA
RNU6-1137P	17	rs601999	ATP6V0A1	snRNA	NA
RNU6-1153P	16	rs4784227	TOX3	snRNA	NA
RNU6-1187P	4	rs6812193	FAM47E-SCARB2	snRNA	NA
RNU6-1211P	1	rs10797576	SIPA1L2	snRNA	NA
RNU6-121P	1	rs35749011	GBA-SYT11	snRNA	NA
RNU6-1223P	19	rs62120679	SPPL2B	snRNA	NA
RNU6-1297P	1	rs35749011	GBA-SYT11	snRNA	NA
RNU6-1304P	1	rs4653767	ITPKB	snRNA	NA
RNU6-1326P	21	rs2823357	USP25	snRNA	NA
RNU6-1340P	16	rs11343	COQ7	snRNA	NA
RNU6-138P	3	rs4073221	SATB1	snRNA	NA
RNU6-145P	4	rs6812193	FAM47E-SCARB2	snRNA	NA
RNU6-239P	1	rs35749011	GBA-SYT11	snRNA	NA
RNU6-287P	17	rs601999	ATP6V0A1	snRNA	NA
RNU6-336P	8	rs2280104	SORBS3	snRNA	NA
RNU6-406P	17	rs601999	ATP6V0A1	snRNA	NA
RNU6-416P	16	rs14235	BCKDK-STX1B	snRNA	NA
RNU6-418P	1	rs823118	RAB7L1-NUCKS1	snRNA	NA
RNU6-426P	21	rs2823357	USP25	snRNA	NA
RNU6-468P	17	rs11868035	SREBF1-RAI1	snRNA	NA
RNU6-470P	17	rs601999	ATP6V0A1	snRNA	NA
RNU6-471P	6	rs9468199	ZNF184	snRNA	NA
RNU6-512P	2	rs6430538	ACMSD-TMEM163	snRNA	NA
RNU6-603P	6	rs9275326	HLA-DBQ1	snRNA	NA
RNU6-713P	12	rs76904798	LRRK2	snRNA	NA
RNU6-766P	2	rs1474055	STK39	snRNA	NA
RNU6-767P	17	rs11868035	SREBF1-RAI1	snRNA	NA
RNU6-806P	5	rs2694528	ELOVL7	snRNA	NA
RNU6-835P	14	rs8005172	GALC	snRNA	NA
RNU6-850P	6	rs9275326	HLA-DBQ1	snRNA	NA
RNU6-856P	3	rs143918452	ALAS1	snRNA	NA
RNU6-873P	3	rs115185635	KRT8P25-APOOP2	snRNA	NA
RNU6-907P	4	rs356182	SNCA	snRNA	NA
RNU6-913P	5	rs2694528	ELOVL7	snRNA	NA
RNU6-971P	17	rs601999	ATP6V0A1	snRNA	NA
RNU6-993P	19	rs62120679	SPPL2B	snRNA	NA
RNU6ATAC16P	3	rs143918452	ALAS1	snRNA	NA
RNU6ATAC6P	3	rs115185635	KRT8P25-APOOP2	snRNA	NA
RNU6ATAC9P	14	rs11158026	GCH1	snRNA	NA
RNU7-10P	3	rs4073221	SATB1	snRNA	NA
RNU7-128P	3	rs12497850	NCKIPSD	snRNA	NA
RNU7-136P	3	rs34016896	NMD3	snRNA	NA
RNU7-143P	7	rs199347	GPNMB	snRNA	NA
RNU7-148P	2	rs1474055	STK39	snRNA	NA
RNU7-170P	12	rs11060180	CCDC62	snRNA	NA
RNU7-26P	6	rs9468199	ZNF184	snRNA	NA
RNU7-57P	1	rs35749011	GBA-SYT11	snRNA	NA
RNU7-61P	16	rs14235	BCKDK-STX1B	snRNA	NA
RNU7-97P	17	rs601999	ATP6V0A1	snRNA	NA
RNY4P10	6	rs9275326	HLA-DBQ1	misc_RNA	NA
RORA	15	rs2414739	VPS13C	protein_coding	Rora
RPL10P2	6	rs9468199	ZNF184	processed_pseudogene	NA
RPL12P1	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
RPL12P10	7	rs199347	GPNMB	processed_pseudogene	NA
RPL13AP3	14	rs11158026	GCH1	transcribed_processed_pseudogene	NA
RPL13P12	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
RPL15P4	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
RPL17P36	10	rs117896735	INPP5F	processed_pseudogene	NA
RPL19P1	20	rs8118008	DDRGK1	processed_pseudogene	NA
RPL19P13	8	rs2740594	CTSB	processed_pseudogene	NA
RPL21P1	12	rs11060180	CCDC62	processed_pseudogene	NA
RPL21P121	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
RPL21P16	10	rs117896735	INPP5F	processed_pseudogene	NA
RPL21P2	20	rs8118008	DDRGK1	processed_pseudogene	NA
RPL21P4	17	rs601999	ATP6V0A1	processed_pseudogene	NA
RPL21P6	14	rs11158026	GCH1	processed_pseudogene	NA
RPL21P9	14	rs1555399	TMEM229B	processed_pseudogene	NA
RPL23AP42	3	rs34016896	NMD3	processed_pseudogene	NA
RPL23AP55	8	rs2280104	SORBS3	processed_pseudogene	NA
RPL23AP94	4	rs78738012	ANK2	processed_pseudogene	NA
RPL27	17	rs601999	ATP6V0A1	protein_coding	Rpl27
RPL27P12	12	rs11060180	CCDC62	processed_pseudogene	NA
RPL30P13	12	rs76904798	LRRK2	processed_pseudogene	NA
RPL31	2	rs34043159	IL1R2	protein_coding	Rpl31
RPL32P1	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
RPL35AP4	6	rs9275326	HLA-DBQ1	processed_pseudogene	NA
RPL3P6	5	rs2694528	ELOVL7	processed_pseudogene	NA
RPL6P8	3	rs34016896	NMD3	processed_pseudogene	NA
RPL7AP30	4	rs78738012	ANK2	processed_pseudogene	NA
RPL7AP4	14	rs11158026	GCH1	processed_pseudogene	NA
RPL7AP65	17	rs11868035	SREBF1-RAI1	processed_pseudogene	NA
RPL7L1P8	3	rs12637471	MCCC1	processed_pseudogene	NA
RPL7P17	4	rs6812193	FAM47E-SCARB2	processed_pseudogene	NA
RPLP2P1	6	rs9468199	ZNF184	processed_pseudogene	NA
RPP38	10	rs10906923	FAM171A1	protein_coding	Rpp38
RPP38	10	rs7077361	ITGA8	protein_coding	Rpp38
RPS15	19	rs62120679	SPPL2B	protein_coding	Rps15
RPS15A	16	rs11343	COQ7	protein_coding	Rps15a
RPS18	6	rs9275326	HLA-DBQ1	protein_coding	Rps18
RPS21P4	4	rs11724635	BST1	processed_pseudogene	NA
RPS26P5	21	rs2823357	USP25	processed_pseudogene	NA
RPS26P8	17	rs17649553	MAPT	processed_pseudogene	NA
