HumanSymbol	MouseSymbol
SPIN4	Spin4
FAM168A	Fam168a
TMEM72	Tmem72
IFFO1	Iffo1
VSTM4	Vstm4
IGSF10	Igsf10
CFAP206	Cfap206
WDR49	Wdr49
LAYN	Layn
C1orf64	Gm694
CERS3	Cers3
NLRC3	Nlrc3
SLC51B	Slc51b
HEPACAM2	Hepacam2
VMAC	Vmac
AFAP1L1	Afap1l1
BRWD3	Brwd3
WHRN	Whrn
COL14A1	Col14a1
MUSTN1	Mustn1
RFTN1	Rftn1
FOXK2	Foxk2
FAM89B	Fam89b
ERAS	Eras
GPR151	Gpr151
CLEC18B	Clec18a
PIFO	Pifo
DEUP1	Deup1
LYRM7	Lyrm7
C17orf64	1700125H20Rik
CRTC2	Crtc2
ARHGAP30	Arhgap30
MUC6	Muc6
FFAR4	Ffar4
GPR142	Gpr142
GPR141	Gpr141
DPY19L4	Dpy19l4
RXFP4	Rxfp4
ZBTB12	Zbtb12
CHAMP1	Champ1
ZNF428	Zfp428
TMEM270	Wbscr28
C1QL2	C1ql2
FAAP20	Faap20
LHFPL5	Lhfpl5
LYPD5	Lypd5
SPATA46	Spata46
LSMEM1	Lsmem1
SAMD7	Samd7
TMEM255B	Tmem255b
FAM131C	Fam131c
BPIFB3	Bpifb3
RFLNB	Rflnb
C1orf146	1700028K03Rik
FAM19A3	Fam19a3
MACC1	Macc1
GPR18	Gpr18
EMILIN3	Emilin3
TMEM150C	Tmem150c
CCNB1IP1	Ccnb1ip1
ARL13B	Arl13b
ADAMTS9	Adamts9
KMT2E	Kmt2e
GLT6D1	Glt6d1
TRIM69	Trim69
RAVER2	Raver2
RNASE9	Rnase9
PRSS38	Prss38
C11orf94	1700029I15Rik
SPINK8	Spink8
ELFN2	Elfn2
FOXI2	Foxi2
SLFN5	Slfn5
SMCO1	Smco1
RTL5	Rgag4
FRMD7	Frmd7
C16orf74	1190005I06Rik
C9orf50	1700001O22Rik
GRHL3	Grhl3
QRFPR	Qrfpr
NHS	Nhs
MPZL3	Mpzl3
TMEM173	Tmem173
CMIP	Cmip
LONRF2	Lonrf2
C3orf67	4930452B06Rik
MMS22L	Mms22l
CXCL17	Cxcl17
NKPD1	Nkpd1
CLEC4G	Clec4g
C11orf53	1810046K07Rik
PAQR9	Paqr9
B3GNT8	B3gnt8
FAM89A	Fam89a
C5orf34	4833420G17Rik
KLHL30	Klhl30
ZPBP2	Zpbp2
MRGPRD	Mrgprd
PLEKHG1	Plekhg1
UBE3D	Ube2cbp
RASAL3	Rasal3
ICE1	Ice1
CCDC88C	Ccdc88c
EFCAB12	Efcab12
GALNT16	Galnt16
ADAMTSL3	Adamtsl3
PCDH19	Pcdh19
FHDC1	Fhdc1
SECISBP2L	Secisbp2l
NCKAP5L	Nckap5l
CAMSAP2	Camsap2
MYH15	Myh15
TBC1D30	Tbc1d30
PKDCC	Pkdcc
RANBP6	Ranbp6
ZNF469	Zfp469
ARHGAP20	Arhgap20
PRUNE2	Prune2
MIER2	Mier2
CAMTA1	Camta1
KDM6B	Kdm6b
TANC1	Tanc1
DAPL1	Dapl1
BEX4	Bex4
DUSP27	Dusp27
MEX3A	Mex3a
SLAIN2	Slain2
LIMCH1	Limch1
SIPA1L2	Sipa1l2
PRR12	Prr12
ZSWIM5	Zswim5
CAMSAP3	Camsap3
RUSC2	Rusc2
RIMKLB	Rimklb
HAUS5	Haus5
KIF26A	Kif26a
ZNF618	Zfp618
ATG16L2	Atg16l2
LRRK2	Lrrk2
ZNF787	Zfp787
C1orf194	1700013F07Rik
C2orf73	4930505A04Rik
CCDC173	Ccdc173
CIB4	Cib4
TTC32	Ttc32
ZNF648	Zfp648
C10orf90	D7Ertd443e
DBX1	Dbx1
CEACAM20	Ceacam20
C2CD4C	C2cd4c
ZNF831	Zfp831
OTOL1	Otol1
FAM159B	Fam159b
OC90	Oc90
COLCA2	Colca2
C14orf28	Gm527
PM20D2	Pm20d2
SLC38A8	Slc38a8
ATP8B3	Atp8b3
SYDE2	Syde2
RC3H1	Rc3h1
GPAT2	Gpat2
KIAA1841	0610010F05Rik
LOC100505841	1700034E13Rik
KIAA2026	9930021J03Rik
FAM170B	Fam170b
PWWP2B	Pwwp2b
C15orf61	2300009A05Rik
BCL2L15	Bcl2l15
ISM1	Ism1
YDJC	Ydjc
GAREM2	Garem2
SH3D19	Sh3d19
IRX1	Irx1
CHD7	Chd7
ANKIB1	Ankib1
LRRC3C	Lrrc3c
KRT39	Krt39
NLRP1	Nlrp1b
SLFN14	Slfn14
DHRS7C	Dhrs7c
C1orf100	1700016C15Rik
ZNF518B	Zfp518b
SLC35D3	Slc35d3
SHC2	Shc2
SPRYD4	Spryd4
FAM161A	Fam161a
C17orf105	1700006E09Rik
C17orf98	1700001P01Rik
FAM171A2	Fam171a2
RD3L	Rd3l
PSMG4	Psmg4
WNK2	Wnk2
SH2D4B	Sh2d4b
RNASE10	Rnase10
SAMD4A	Samd4
LARP4	Larp4
PTX4	Ptx4
EME2	Eme2
LRFN2	Lrfn2
LRRC73	Lrrc73
C5orf46	Gm94
C11orf84	AI846148
CAMSAP1	Camsap1
KIAA1211L	2010300C02Rik
C2orf82	3110079O15Rik
FAM209B	Fam209
MYBPHL	Mybphl
ARHGEF39	Arhgef39
MFSD2A	Mfsd2a
CD164L2	Cd164l2
CRYBG2	Crybg2
DRAXIN	Draxin
RNF207	Rnf207
ADGRA3	Adgra3
LAMTOR4	Lamtor4
C2orf68	0610030E20Rik
CLEC12B	Clec12b
KIAA1551	2810474O19Rik
FEZF1	Fezf1
CCDC61	Ccdc61
NCCRP1	Nccrp1
FAM71E1	Fam71e1
C19orf81	1700008O03Rik
TMEM219	Tmem219
LRRC27	Lrrc27
ERICH1	Erich1
MBOAT4	Mboat4
C16orf86	4933405L10Rik
PRSS54	Prss54
KIAA0895	9530077C05Rik
C15orf39	1700017B05Rik
KBTBD13	Kbtbd13
HHATL	Hhatl
MAP3K19	Map3k19
ELMSAN1	Elmsan1
LRRC74A	Lrrc74a
C1QL4	C1ql4
CCDC154	Ccdc154
TDRD6	Tdrd6
TMEM151B	Tmem151b
BICRAL	Bicral
JCAD	Jcad
ASXL3	Asxl3
ZNF518A	Zfp518a
GPR158	Gpr158
ZBTB34	Zbtb34
LRRC55	Lrrc55
XIRP2	Xirp2
XKR7	Xkr7
ZC3H12B	Zc3h12b
RTL3	Zcchc5
NXF3	Nxf3
IQSEC2	Iqsec2
TCEANC	Tceanc
LRIT3	Lrit3
VWA5B1	Vwa5b1
MYOM3	Myom3
RSBN1L	Rsbn1l
RNF216	Rnf216
ATXN1L	Atxn1l
IGSF9B	Igsf9b
UBAP1L	Ubap1l
FAM83B	Fam83b
TNFAIP8L3	Tnfaip8l3
INCA1	Inca1
SPATA13	Spata13
NYNRIN	Nynrin
CCDC191	Ccdc191
CPN2	Cpn2
KIAA1614	BC034090
TRNP1	Trnp1
RTP2	Rtp2
USF3	Usf3
SLC9C1	Slc9c1
ANKRD16	Ankrd16
BEND3	Bend3
PPP1R18	Ppp1r18
FAM171A1	Fam171a1
C2CD3	C2cd3
SUSD5	Susd5
EPGN	Epgn
MYADML2	Myadml2
ZBTB38	Zbtb38
HOXC6	Hoxc6
C8orf58	9930012K11Rik
DENND2C	Dennd2c
FBXO10	Fbxo10
ANKS6	Anks6
NAT8L	Nat8l
XRRA1	Xrra1
FAM26D	Fam26d
MEIOC	Meioc
ARHGEF40	Arhgef40
ANKDD1B	Ankdd1b
SHC4	Shc4
MCRIP1	Mcrip1
PLEKHM2	Plekhm2
LRRC10B	Lrrc10b
STKLD1	Stkld1
NEXMIF	C77370
RILP	Rilp
FUOM	Fuom
TMED8	Tmed8
TMEM150B	Tmem150b
ANKRD45	Ankrd45
CENPL	Cenpl
ZNF710	Zfp710
MROH7	Mroh7
HEATR5A	Heatr5a
CCDC33	Ccdc33
LCMT2	Lcmt2
ZNF865	Zfp865
TEAD2	Tead2
LRTOMT	Tomt
ZKSCAN2	Zkscan2
DNAH3	Dnah3
HPSE2	Hpse2
PWWP2A	Pwwp2a
PARP14	Parp14
DSTYK	Dstyk
KIAA0232	D5Ertd579e
OR6S1	Olfr750
PABPN1L	Pabpn1l
PAQR6	Paqr6
NHSL2	Nhsl2
DFNB59	Dfnb59
ANKRD63	Ankrd63
KIAA1549	D630045J12Rik
ZNF746	Zfp746
C2orf71	BC027072
ADAMTSL5	Adamtsl5
ASCL4	Ascl4
FDXACB1	Fdxacb1
ANKRD34C	Ankrd34c
ADGRV1	Adgrv1
FAM212A	Fam212a
GLYATL3	Glyatl3
TOPAZ1	Topaz1
FBXO41	Fbxo41
FOXR1	Foxr1
KIAA1161	AI464131
CEACAM16	Ceacam16
OR2W3	Olfr322
SP6	Sp6
TMEM240	Tmem240
TVP23A	Tvp23a
GATC	Gatc
C1orf53	2310009B15Rik
ERMARD	Ermard
TTC9B	Ttc9b
TRPM1	Trpm1
C9orf172	Gm996
EFCAB7	Efcab7
RIPPLY2	Ripply2
RPRD2	Rprd2
SH2D5	Sh2d5
ZBTB42	Zbtb42
EPPK1	Eppk1
IQCF5	Iqcf5
PFN4	Pfn4
XKR9	Xkr9
ACADS	Acads
ACVRL1	Acvrl1
ALDOB	Aldob
ATP7B	Atp7b
AVPR2	Avpr2
BCHE	Bche
COL4A4	Col4a4
F13A1	F13a1
FUCA1	Fuca1
G6PC	G6pc
GIPR	Gipr
GLRA1	Glra1
GNAT1	Gnat1
CFH	Cfh
HSD11B2	Hsd11b2
HSD17B3	Hsd17b3
INSR	Insr
ITGA6	Itga6
ITGB2	Itgb2
MUT	Mut
MYL3	Myl3
MYO5A	Myo5a
PFKM	Pfkm
PKD2	Pkd2
RPE65	Rpe65
SERPINA7	Serpina7
COL5A2	Col5a2
EGR2	Egr2
L1CAM	L1cam
SLC26A4	Slc26a4
AK1	Ak1
AQP2	Aqp2
ARSA	Arsa
SERPINC1	Serpinc1
EPX	Epx
HEXA	Hexa
HOXD13	Hoxd13
HTR1A	Htr1a
REN	Ren1
CD53	Cd53
GPX1	Gpx1
SPP1	Spp1
SERPINA5	Serpina5
ADH4	Adh4
ADORA1	Adora1
ADORA2A	Adora2a
ADORA2B	Adora2b
ADRA2C	Adra2c
ADRB1	Adrb1
AGTR2	Agtr2
ALDH3A1	Aldh3a1
AMY2A	Amy1
ATP4B	Atp4b
CA4	Car4
CACNA1B	Cacna1b
CACNA1E	Cacna1e
CACNB1	Cacnb1
CACNB3	Cacnb3
CACNB4	Cacnb4
CHRM1	Chrm1
CHRM2	Chrm2
CHRM3	Chrm3
CHRM4	Chrm4
CHRNA2	Chrna2
CHRNB4	Chrnb4
DRD4	Drd4
DRD5	Drd5
GABRA2	Gabra2
GABRA3	Gabra3
GABRA5	Gabra5
GABRA6	Gabra6
GABRB1	Gabrb1
GAD2	Gad2
GLRB	Glrb
GRIA2	Gria2
GRIA1	Gria1
GRIA4	Gria4
GRM2	Grm2
GRM4	Grm4
GRM6	Grm6
GRM7	Grm7
HTR1D	Htr1d
HTR2C	Htr2c
HTR4	Htr4
HTR7	Htr7
ITGB7	Itgb7
KCNJ5	Kcnj5
KCNJ2	Kcnj2
MAOB	Maob
OPRD1	Oprd1
OPRK1	Oprk1
OXTR	Oxtr
PDE4C	Pde4c
PTAFR	Ptafr
PTGER4	Ptger4
RARA	Rara
RARG	Rarg
RRM2	Rrm2
SCNN1G	Scnn1g
SLC12A2	Slc12a2
SSTR3	Sstr3
SSTR4	Sstr4
SSTR5	Sstr5
TACR1	Tacr1
ANXA5	Anxa5
ARHGDIB	Arhgdib
ARL1	Arl1
BCAT1	Bcat1
BMPR1B	Bmpr1b
CA6	Car6
CA9	Car9
CA12	Car12
CASQ1	Casq1
CASQ2	Casq2
SERPINH1	Serpinh1
CBR3	Cbr3
ENTPD2	Entpd2
CDH13	Cdh13
AP1S1	Ap1s1
CLIC1	Clic1
CCR1	Ccr1
CRMP1	Crmp1
CX3CR1	Cx3cr1
DGKQ	Dgkq
DAPK3	Dapk3
DNAH9	Dnah9
DPYS	Dpys
DPYSL3	Dpysl3
DTNA	Dtna
EEF1G	Eef1g
EIF1AX	Eif1a
ELAVL1	Elavl1
FHL2	Fhl2
FOXC1	Foxc1
FZD2	Fzd2
B4GALT1	B4galt1
GLE1	Gle1
GPR39	Gpr39
NDST1	Ndst1
ING2	Ing2
ACVR2A	Acvr2a
APLP2	Aplp2
AQP5	Aqp5
AQP6	Aqp6
ARHGAP4	Arhgap4
BMP7	Bmp7
BMX	Bmx
C5	Hc
C5AR1	C5ar1
CA1	Car1
SERPINA6	Serpina6
CCND3	Ccnd3
CD9	Cd9
CD37	Cd37
ENTPD1	Entpd1
CDH2	Cdh2
CDH3	Cdh3
CENPE	Cenpe
CKM	Ckm
CLCN3	Clcn3
CCR3	Ccr3
COL4A1	Col4a1
COL9A3	Col9a3
CSNK2A2	Csnk2a2
CSPG4	Cspg4
CTPS1	Ctps
CFD	Cfd
CELA1	Cela1
ELANE	Elane
ERBB3	Erbb3
EZH1	Ezh1
FGFR4	Fgfr4
FPR1	Fpr1
GABRR1	Gabrr1
GABRR2	Gabrr2
GNA11	Gna11
GPC1	Gpc1
GPX2	Gpx2
GPX3	Gpx3
GRSF1	Grsf1
GZMK	Gzmk
HCK	Hck
HDC	Hdc
RBMX	Rbmx
HPN	Hpn
HSPE1	Hspe1
ITGA5	Itga5
ITGAV	Itgav
ITGB5	Itgb5
CD82	Cd82
KCNA4	Kcna4
KCNG1	Kcng1
KCNN3	Kcnn3
KCNS1	Kcns1
KCNS3	Kcns3
KPNA3	Kpna3
KPNA4	Kpna4
KRT4	Krt4
LRCH4	Lrch4
LSAMP	Lsamp
MATN2	Matn2
MCC	Mcc
MMP1	Mmp1a
MMP3	Mmp3
MMP10	Mmp10
MMP12	Mmp12
MMP13	Mmp13
MMP15	Mmp15
MYH3	Myh3
MYL4	Myl4
NDN	Ndn
NMBR	Nmbr
NME3	Nme3
P2RY4	P2ry4
PCSK6	Pcsk6
SERPINB2	Serpinb2
PBX1	Pbx1
PFKP	Pfkp
SERPINB5	Serpinb5
PIK3C2A	Pik3c2a
PIK3C2B	Pik3c2b
PITX1	Pitx1
PMP2	Pmp2
PPP2R3A	Ppp2r3a
PRKCG	Prkcg
PRSS8	Prss8
PSMB10	Psmb10
PTPRA	Ptpra
PTPRF	Ptprf
PTPRS	Ptprs
RAB2A	Rab2a
RAB3A	Rab3a
RALB	Ralb
RCN1	Rcn1
SH3GL2	Sh3gl2
SIAH1	Siah1a
SLC1A4	Slc1a4
SLC7A1	Slc7a1
SLC7A2	Slc7a2
SLC9A1	Slc9a1
SLC9A2	Slc9a2
SLC16A1	Slc16a1
SLC34A1	Slc34a1
SLC18A1	Slc18a1
SLC22A1	Slc22a1
SMARCD1	Smarcd1
SMARCD2	Smarcd2
SNRNP70	Snrnp70
STAT4	Stat4
STAT5A	Stat5a
STIM1	Stim1
TCEA3	Tcea3
NFE2L1	Nfe2l1
TFAP2B	Tfap2b
TGM4	Tgm4
TGM3	Tgm3
THBS4	Thbs4
TIA1	Tia1
TLE2	Tle2
TLR1	Tlr1
TLR2	Tlr2
TLR3	Tlr3
TLR5	Tlr5
TSPAN6	Tspan6
TMOD1	Tmod1
TNNT1	Tnnt1
TRHR	Trhr
TRPC3	Trpc3
TRPM2	Trpm2
TULP3	Tulp3
TYK2	Tyk2
UBE2D1	Ube2d1
UGT8	Ugt8a
USP4	Usp4
CLIP2	Clip2
WNT2	Wnt2
WNT5A	Wnt5a
WNT10B	Wnt10b
WNT9A	Wnt9a
YWHAB	Ywhab
ZNF7	Zfp7
ZNF189	Zfp189
CXCR4	Cxcr4
CSRP3	Csrp3
PTP4A2	Ptp4a2
DYSF	Dysf
FZD1	Fzd1
FZD7	Fzd7
TAGLN2	Tagln2
BFSP2	Bfsp2
STK24	Stk24
NCK2	Nck2
DOC2B	Doc2b
GALR3	Galr3
PPFIA1	Ppfia1
NDST2	Ndst2
LGR5	Lgr5
HSD17B6	Hsd17b6
SRSF9	Srsf9
ADAM9	Adam9
NR5A2	Nr5a2
PEX11A	Pex11a
TRIM24	Trim24
HESX1	Hesx1
INPP4B	Inpp4b
KAT2B	Kat2b
CPNE3	Cpne3
RAB29	Rab29
BAIAP3	Baiap3
TRIO	Trio
TAAR5	Taar5
MAP7	Map7
DMD	Dmd
ANXA2	Anxa2
BDH1	Bdh1
CA8	Car8
PLK3	Plk3
CTSS	Ctss
COCH	Coch
DLG1	Dlg1
DUSP3	Dusp3
FOXS1	Foxs1
GNG10	Gng10
RAB27B	Rab27b
SLC1A1	Slc1a1
SLC1A3	Slc1a3
SLC7A4	Slc7a4
SEMA3F	Sema3f
CHRNA6	Chrna6
SYT7	Syt7
SLC28A2	Slc28a2
TRIP11	Trip11
TGM5	Tgm5
RAB9A	Rab9
SLC22A8	Slc22a8
RAB3D	Rab3d
MTRF1	Mtrf1
ACVR1B	Acvr1b
ANXA13	Anxa13
ARHGAP1	Arhgap1
ASPH	Asph
BMPR1A	Bmpr1a
CD81	Cd81
CD151	Cd151
CDH1	Cdh1
CRHR1	Crhr1
DDX10	Ddx10
DVL1	Dvl1
DVL2	Dvl2
DVL3	Dvl3
EPHA2	Epha2
ELAVL2	Elavl2
EML1	Eml1
EPHA4	Epha4
EPHA7	Epha7
EPHB1	Ephb1
EPHB3	Ephb3
EPHB4	Ephb4
EPHB6	Ephb6
GPC3	Gpc3
KCNQ3	Kcnq3
LRP2	Lrp2
SERPINB6	Serpinb6a
PLCB2	Plcb2
POU4F2	Pou4f2
TRA2B	Tra2b
SREBF2	Srebf2
TSPAN7	Tspan7
TSPAN8	Tspan8
WNT7A	Wnt7a
WNT11	Wnt11
SEMA3B	Sema3b
MLLT10	Mllt10
NPHS1	Nphs1
LIN7A	Lin7a
PIAS2	Pias2
KRT75	Krt75
SLC16A6	Slc16a6
SLC16A5	Slc16a5
SYNGR2	Syngr2
SLC16A7	Slc16a7
GCNT3	Gcnt3
DHRS3	Dhrs3
ASIC3	Asic3
MMP20	Mmp20
MED1	Med1
TM9SF2	Tm9sf2
NRXN1	Nrxn1
GRAP2	Grap2
NTN1	Ntn1
THEMIS2	Themis2
ROCK2	Rock2
CHST10	Chst10
FXR2	Fxr2
PDIA4	Pdia4
VPS9D1	Vps9d1
ABCG1	Abcg1
AQP3	Aqp3
CALB1	Calb1
CDH6	Cdh6
DOCK3	Dock3
HNRNPF	Hnrnpf
JAK2	Jak2
KCNA2	Kcna2
KCND1	Kcnd1
KCND3	Kcnd3
MMP14	Mmp14
NRCAM	Nrcam
PDE1A	Pde1a
SERPINI1	Serpini1
PPARA	Ppara
RORC	Rorc
SIAH2	Siah2
SLC1A6	Slc1a6
SLC12A4	Slc12a4
TLE1	Tle1
TLE3	Tle3
ZRSR2	Zrsr2
FEZ1	Fez1
BRDT	Brdt
MED13	Med13
DOPEY2	Dopey2
SLC12A6	Slc12a6
GRK3	Grk3
ALDOC	Aldoc
RND3	Rnd3
CCR8	Ccr8
DCC	Dcc
EPHA3	Epha3
ERBB4	Erbb4
ETV3	Etv3
MECOM	Mecom
F2RL1	F2rl1
FOXC2	Foxc2
GNAT2	Gnat2
GPR1	Gpr1
XCR1	Xcr1
NPBWR1	Npbwr1
MCHR1	Mchr1
GRPR	Grpr
GZMM	Gzmm
MYO1A	Myo1a
SRC	Src
RND2	Rnd2
NAALADL1	Naaladl1
SLC17A4	Slc17a4
ITGA3	Itga3
ABCA1	Abca1
SCARB1	Scarb1
CCR4	Ccr4
DMXL1	Dmxl1
MNX1	Mnx1
INHBC	Inhbc
KRT16	Krt16
LAMA1	Lama1
LNPEP	Lnpep
BCAM	Bcam
MDFI	Mdfi
ATP8B1	Atp8b1
RBBP4	Rbbp4
SLC1A5	Slc1a5
NR2F1	Nr2f1
TAF1C	Taf1c
ABCC5	Abcc5
NR1H3	Nr1h3
EDIL3	Edil3
GIPC1	Gipc1
TSPAN3	Tspan3
TSPAN2	Tspan2
TSPAN1	Tspan1
ACTR1A	Actr1a
TRIM28	Trim28
RBM5	Rbm5
CALCRL	Calcrl
PRDX2	Prdx2
GDF11	Gdf11
STAG1	Stag1
CWC27	Cwc27
DNAJA2	Dnaja2
IDH1	Idh1
SMAD1	Smad1
SMAD2	Smad2
SMAD9	Smad9
AFDN	Afdn
MTNR1A	Mtnr1a
ZBTB16	Zbtb16
ZFAND5	Zfand5
ARID1A	Arid1a
LIPG	Lipg
HS3ST2	Hs3st2
APBB3	Apbb3
LAMC3	Lamc3
TLR6	Tlr6
CORO2B	Coro2b
MYL9	Myl9
RAPGEF3	Rapgef3
TMEM50B	Tmem50b
GZMA	Gzma
LGALS4	Lgals4
LPO	Lpo
NPY5R	Npy5r
PBX3	Pbx3
PCSK5	Pcsk5
SERPINE2	Serpine2
SERPINI2	Serpini2
PIK3CA	Pik3ca
PIK3CB	Pik3cb
PLCD1	Plcd1
PNLIPRP1	Pnliprp1
POU4F1	Pou4f1
PRKCQ	Prkcq
DPF2	Dpf2
TLN1	Tln1
ZKSCAN8	Zkscan8
LRRN2	Lrrn2
ZBTB18	Zbtb18
CRTAP	Crtap
SEMA4D	Sema4d
PDLIM5	Pdlim5
TRIM3	Trim3
FBLN1	Fbln1
NOVA1	Nova1
SCN10A	Scn10a
DYNLT3	Dynlt3
SLC12A7	Slc12a7
CHL1	Chl1
PLK2	Plk2
ARPP19	Arpp19
SLC17A3	Slc17a3
MTHFD2	Mthfd2
HSPH1	Hsph1
CPLX1	Cplx1
SLC1A7	Slc1a7
SLC22A7	Slc22a7
ACTL7B	Actl7b
MMP24	Mmp24
PNPLA6	Pnpla6
GADD45G	Gadd45g
IFRD2	Ifrd2
RAB38	Rab38
KIF2C	Kif2c
GLIPR1	Glipr1
TMED1	Tmed1
RAB35	Rab35
DSTN	Dstn
ZFHX3	Zfhx3
MYO9A	Myo9a
RXRG	Rxrg
SCN1A	Scn1a
SOX5	Sox5
ADAMTS1	Adamts1
UPK1A	Upk1a
WWP1	Wwp1
TPPP	Tppp
CAPN11	Capn11
NR1H2	Nr1h2
UTRN	Utrn
ZXDB	Zxdb
CIT	Cit
ABCF2	Abcf2
ANXA10	Anxa10
KLK8	Klk8
FZD10	Fzd10
PRAF2	Praf2
CA5B	Car5b
PACSIN2	Pacsin2
KLHL2	Klhl2
KLF12	Klf12
SLCO2B1	Slco2b1
CTRC	Ctrc
STAT1	Stat1
PRMT1	Prmt1
PGK1	Pgk1
PTPRO	Ptpro
RANBP1	Ranbp1
SPTLC2	Sptlc2
TM9SF4	Tm9sf4
FHIT	Fhit
AK3	Ak3
NALCN	Nalcn
GK	Gykl1
TMLHE	Tmlhe
SLC25A16	Slc25a16
ATP9B	Atp9b
SLC13A5	Slc13a5
AP1B1	Ap1b1
UBA1	Uba1
VPS13A	Vps13a
MED14	Med14
MOSPD2	Mospd2
PAK5	Pak7
ZCCHC7	Zcchc7
EIF1B	Eif1b
DECR2	Decr2
POLR1D	Polr1d
PAQR4	Paqr4
TAGLN3	Tagln3
RRP12	Rrp12
AP4E1	Ap4e1
GNA12	Gna12
ADCY6	Adcy6
ANGPT2	Angpt2
RHOD	Rhod
HNRNPD	Hnrnpd
BCAP29	Bcap29
BMP5	Bmp5
CDK11A	Cdk11b
ACKR3	Ackr3
COL13A1	Col13a1
COL8A1	Col8a1
CUX2	Cux2
DCN	Dcn
DHH	Dhh
EPHA8	Epha8
GABRG2	Gabrg2
GABRG3	Gabrg3
HCN3	Hcn3
HES2	Hes2
MFSD14A	Mfsd14a
HTR5A	Htr5a
IFIT1B	Ifit1
KCNS2	Kcns2
KLC2	Klc2
KPNA6	Kpna6
KRT84	Krt84
LFNG	Lfng
LTB4R	Ltb4r1
MMP8	Mmp8
PAX3	Pax3
PCSK4	Pcsk4
PTP4A3	Ptp4a3
SLK	Slk
SYT2	Syt2
TNFAIP1	Tnfaip1
TRAF2	Traf2
TSPYL1	Tspyl1
UCP1	Ucp1
WNT10A	Wnt10a
WNT2B	Wnt2b
WNT3	Wnt3
WNT3A	Wnt3a
WNT4	Wnt4
WNT5B	Wnt5b
WNT7B	Wnt7b
ATRN	Atrn
CACNA1G	Cacna1g
CCR9	Ccr9
COL11A2	Col11a2
CPT1B	Cpt1b
DLX1	Dlx1
DMWD	Dmwd
DPP6	Dpp6
DRD2	Drd2
FGFR2	Fgfr2
FKBP7	Fkbp7
GABRG1	Gabrg1
GNAZ	Gnaz
GNG3	Gng3
IHH	Ihh
KIF13A	Kif13a
NKX2-6	Nkx2-6
OR2V1	Olfr56
OPRL1	Oprl1
HSPA4L	Hspa4l
PDCD6IP	Pdcd6ip
PTCRA	Ptcra
RAB19	Rab19
ITSN2	Itsn2
CYFIP1	Cyfip1
SLC22A3	Slc22a3
SOX6	Sox6
LIN7B	Lin7b
LIN7C	Lin7c
VILL	Vill
BAZ1B	Baz1b
IKZF2	Ikzf2
FIZ1	Fiz1
FYB1	Fyb
MMP17	Mmp17
TENM2	Tenm2
TENM3	Tenm3
PACSIN1	Pacsin1
AVPR1B	Avpr1b
PLOD2	Plod2
SEMA4G	Sema4g
SLC7A11	Slc7a11
COPS7A	Cops7a
ERN2	Ern2
TRPC7	Trpc7
ATP1B4	Atp1b4
AP3M1	Ap3m1
ANGPTL2	Angptl2
BACE2	Bace2
CHRM5	Chrm5
GCA	Gca
RHOQ	Rhoq
HEY2	Hey2
ITGB1BP2	Itgb1bp2
MORF4L2	Morf4l2
ADGRL2	Adgrl2
TSPAN15	Tspan15
SERPINB13	Serpinb13
FSCN2	Fscn2
SSBP2	Ssbp2
YWHAG	Ywhag
GLS	Gls
MYLPF	Mylpf
SCN5A	Scn5a
STK39	Stk39
DNAJC15	Dnajc15
TBK1	Tbk1
PURG	Purg
DPP7	Dpp7
CYTH4	Cyth4
PRICKLE4	Prickle4
FADS1	Fads1
TONSL	Tonsl
ADD1	Add1
ANXA11	Anxa11
DSC1	Dsc1
LDHC	Ldhc
SRR	Srr
MMEL1	Mmel1
ERMAP	Ermap
ABCA7	Abca7
ABCF3	Abcf3
NDRG2	Ndrg2
MAPK8IP3	Mapk8ip3
GABRP	Gabrp
IMPA2	Impa2
SLC25A13	Slc25a13
ADAMTS7	Adamts7
AIPL1	Aipl1
MTCH1	Mtch1
ZNF318	Zfp318
CLEC4E	Clec4e
REPIN1	Repin1
KCNV1	Kcnv1
PKD2L2	Pkd2l2
RAB30	Rab30
RPS6KA6	Rps6ka6
TMOD2	Tmod2
TRPM5	Trpm5
LMCD1	Lmcd1
KCNIP1	Kcnip1
EHD2	Ehd2
NPHS2	Nphs2
ARHGEF10	Arhgef10
PPM1F	Ppm1f
PUM1	Pum1
ACAP1	Acap1
CLSTN3	Clstn3
STARD8	Stard8
KMT2B	Kmt2b
RASSF2	Rassf2
CEP170	Cep170
PPM1E	Ppm1e
MLXIP	Mlxip
ACIN1	Acin1
WDFY3	Wdfy3
XPO7	Xpo7
PDXDC1	Pdxdc1
GGA2	Gga2
TRAK2	Trak2
CDK19	Cdk19
COLGALT2	Colgalt2
PLXND1	Plxnd1
DCUN1D4	Dcun1d4
FCHO1	Fcho1
SLC35D1	Slc35d1
RHOBTB2	Rhobtb2
SIK2	Sik2
PLCB1	Plcb1
PDS5A	Pds5a
ADGRL3	Adgrl3
EHBP1	Ehbp1
TRIM2	Trim2
FAM19A5	Fam19a5
ABHD14A	Abhd14a
RCHY1	Rchy1
NSL1	Nsl1
RWDD3	Rwdd3
NECAP1	Necap1
MOXD1	Moxd1
DNM3	Dnm3
AUTS2	Auts2
ABHD12	Abhd12
TRAF3IP1	Traf3ip1
FGD3	Fgd3
KRT76	Krt76
AZIN1	Azin1
PI15	Pi15
NUDT13	Nudt13
SNX7	Snx7
YBX2	Ybx2
SIDT2	Sidt2
